,city,country,city id,lat,lon,temp,temp_max,humidity,cloudiness,wind speed
0,lebu,CL,3883457,-37.62,-73.65,12.64,12.64,75,54,0.23
1,teya,RU,1489656,60.38,92.63,10.76,10.76,74,81,2.38
2,castro,BR,3466704,-24.79,-50.01,15.35,15.35,70,11,2.12
3,richards bay,US,5043181,46.84,-95.91,21.0,21.0,68,1,4.6
4,amla,IN,1278775,21.93,78.12,23.51,23.51,93,85,1.26
5,ponta do sol,PT,3372784,38.73,-28.27,23.0,23.0,73,40,8.7
6,selfoss,IS,3413604,63.93,-21.0,13.33,13.33,95,100,2.24
7,chandvad,IN,1274673,20.33,74.25,22.95,22.95,95,100,2.65
8,madimba,TZ,878141,-10.4,40.33,30.0,30.0,45,20,8.2
9,hobart,AU,2163355,-42.88,147.33,7.13,8.0,81,90,3.1
10,basoko,CD,219414,1.24,23.62,28.39,28.39,66,100,0.63
11,belaya gora,UA,712667,49.03,25.77,21.82,21.82,52,0,0.71
12,hithadhoo,MV,1282256,-0.6,73.08,29.25,29.25,72,87,3.06
13,debre zeyit,MK,791606,41.52,20.53,26.0,26.0,39,20,4.6
14,litoral del san juan,BR,3446232,-30.01,-50.16,11.17,11.17,53,0,2.67
15,zhigansk,RU,2012530,66.77,123.37,18.22,18.22,54,82,3.27
16,vallenar,CL,3868633,-28.57,-70.76,18.71,18.71,38,0,1.83
17,nome,US,5870133,64.5,-165.41,10.2,11.0,81,90,4.1
18,kapaa,US,5848280,22.08,-159.32,24.47,26.0,78,90,7.7
19,hermanus,ZA,3366880,-34.42,19.23,17.22,17.22,49,0,0.45
20,saint-philippe,RE,935215,-21.36,55.77,20.23,23.0,78,43,4.1
21,sisimiut,GL,3419842,66.94,-53.67,9.75,9.75,61,43,4.16
22,almaznyy,RU,582447,48.04,40.05,27.0,27.0,26,20,6.0
23,lasa,IT,3175096,46.62,10.7,15.52,17.78,82,75,2.6
24,cayenne,GF,3382160,4.93,-52.33,32.0,32.0,59,0,3.1
25,alexandria,EG,361058,31.22,29.96,29.0,29.0,62,40,6.2
26,vaini,TO,4032243,-21.2,-175.2,23.0,23.0,78,75,2.6
27,puerto ayora,ES,2518207,36.59,-6.23,35.3,36.0,34,0,6.7
28,port alfred,CD,212962,-7.03,29.76,26.92,26.92,44,80,2.4
29,carnarvon,AU,2074865,-24.87,113.63,18.0,18.0,68,75,2.6
30,dinan,FR,3021353,48.42,-2.25,19.81,20.0,68,90,6.2
31,atuona,PF,4020109,-9.8,-139.03,26.13,26.13,77,3,8.68
32,panubigan,PH,1958647,7.43,123.35,26.31,26.31,80,100,2.79
33,mataura,NZ,6201424,-46.19,168.86,3.89,3.89,83,21,1.34
