,city,country,city id,lat,lon,temp,temp_max,humidity,cloudiness,wind speed
0,santa fe,PH,1688420,17.49,120.43,26.13,26.13,82,7,1.63
1,egvekinot,RU,4031742,66.32,-179.17,10.7,10.7,84,38,0.74
2,kodiak,US,5866583,57.79,-152.41,14.0,14.0,76,90,1.5
3,manosque,FR,2996180,43.83,5.79,25.0,25.0,51,99,0.89
4,ancud,CL,3899695,-41.87,-73.82,10.78,11.67,93,90,5.1
5,saskylakh,RU,2017155,71.92,114.08,8.8,8.8,61,100,9.51
6,sola,VU,2134814,-13.88,167.55,25.0,25.0,100,90,2.6
7,ulladulla,AU,2145554,-35.35,150.47,8.44,11.67,66,90,7.7
8,roma,US,5134295,43.21,-75.46,24.32,25.0,65,90,3.1
9,mataura,NZ,6201424,-46.19,168.86,-1.85,-1.85,98,23,0.88
10,ushuaia,AR,3833367,-54.8,-68.3,1.0,1.0,89,0,2.1
11,mar del plata,ES,3117472,43.4,-4.01,20.08,20.56,72,20,2.1
12,uchiza,PE,3691094,-8.46,-76.46,30.02,30.02,47,4,1.06
13,cape town,CL,3872326,-36.41,-71.9,11.9,12.78,93,90,4.6
14,kotelnich,RU,543737,58.31,48.35,16.64,16.64,83,85,2.11
15,cherskiy,RU,2126199,68.75,161.3,8.92,8.92,64,100,1.6
16,dikson,RU,1507390,73.51,80.55,4.56,4.56,92,73,1.49
17,inhambane,MZ,1045114,-23.86,35.38,17.89,18.0,77,40,3.1
18,lewistown,US,5197850,40.6,-77.57,26.23,27.78,74,90,2.6
19,esperance,AU,2071860,-33.87,121.9,14.0,14.0,100,90,5.1
20,arraial do cabo,BR,6322152,-22.84,-46.65,24.6,26.0,47,20,2.6
21,hobart,AU,2163355,-42.88,147.33,3.33,5.0,80,1,3.1
22,touros,BR,3386213,-5.2,-35.46,25.0,25.0,83,75,3.6
23,qaanaaq,GL,3831208,77.48,-69.36,6.75,6.75,77,88,2.7
24,upernavik,GL,3418910,72.79,-56.15,7.1,7.1,82,80,3.45
25,punta arenas,PH,1692429,8.99,125.34,24.46,24.46,87,68,2.05
26,hami,CN,1529484,42.8,93.45,25.72,25.72,32,81,2.28
27,albany,US,5106841,42.6,-73.97,24.66,25.56,57,99,4.98
28,busselton,AU,2075265,-33.65,115.33,10.34,12.22,87,57,4.72
29,tuatapere,NZ,2180815,-46.13,167.68,0.63,0.63,94,54,1.83
30,puerto ayora,ES,2518207,36.59,-6.23,31.98,33.0,35,0,7.2
31,kieta,PG,2094027,-6.22,155.63,26.04,26.04,79,100,2.67
32,maldonado,UY,3441890,-34.67,-54.92,12.41,12.78,50,75,3.6
33,santa vitoria do palmar,PH,1688420,17.49,120.43,26.13,26.13,82,7,1.63
34,yellowknife,CA,6185377,62.46,-114.35,18.0,18.33,48,75,2.1
35,rivadavia,AR,3838759,-33.19,-68.46,17.0,17.0,30,0,3.1
