,city,country,city id,lat,lon,temp,temp_max,humidity,cloudiness,wind speed
0,bluff,NZ,2206939,-46.6,168.33,3.89,3.89,83,9,1.34
1,khatanga,RU,2022572,71.97,102.5,15.04,15.04,63,100,5.4
2,busselton,AU,2075265,-33.65,115.33,12.87,13.33,85,67,7.82
3,namibe,AO,3347019,-15.2,12.15,25.0,25.0,65,1,6.2
4,selty,RU,497547,57.31,52.13,27.98,27.98,64,0,4.33
5,georgetown,MY,1735106,5.41,100.34,28.23,29.0,83,20,2.1
6,kawhia,NZ,2185537,-38.07,174.82,10.56,10.56,77,100,2.68
7,new norfolk,LR,2274890,6.65,-10.59,26.0,26.0,83,75,3.6
8,hobart,AU,2163355,-42.88,147.33,6.92,8.0,87,90,0.44
9,guerrero negro,MX,3527213,17.67,-100.0,24.44,24.44,68,45,0.67
10,butaritari,KI,2110227,3.07,172.79,27.89,27.89,75,99,4.97
11,lebu,CL,3883457,-37.62,-73.65,12.64,12.64,75,54,0.23
12,thompson,CA,6165406,55.74,-97.86,15.0,15.0,100,90,5.1
13,kapaa,US,5848280,22.08,-159.32,24.47,26.0,78,90,7.7
14,rikitea,PF,4030556,-23.12,-134.97,23.33,23.33,84,100,6.42
15,ushuaia,AR,3833367,-54.8,-68.3,-2.0,-2.0,92,40,2.6
16,toora-khem,RU,1489401,52.47,96.11,12.63,12.63,74,29,3.59
17,nioro,GM,2412408,13.35,-15.75,33.42,33.42,44,12,3.22
18,provideniya,RU,4031574,64.38,-173.3,7.9,7.9,94,100,1.69
19,longyearbyen,SJ,2729907,78.22,15.64,9.0,9.0,61,75,2.6
20,carutapera,BR,3402648,-1.2,-46.02,29.87,29.87,65,0,4.02
21,tuktoyaktuk,CA,6170031,69.45,-133.04,9.0,9.0,76,90,4.1
22,bengkulu,ID,1649150,-3.8,102.27,25.81,25.81,81,100,1.55
23,mount isa,GB,2654993,53.66,-1.85,13.75,13.89,93,100,1.34
24,ussuriysk,RU,2014006,43.8,131.95,18.0,18.0,82,75,1.0
25,chokurdakh,RU,2126123,70.63,147.92,2.43,2.43,88,100,5.83
26,viedma,AR,3832899,-40.81,-63.0,7.66,7.66,57,72,4.61
27,atuona,PF,4020109,-9.8,-139.03,26.13,26.13,77,3,8.68
28,ribeira grande,ES,3111807,42.75,-8.44,26.07,27.22,53,43,7.2
29,charters towers,US,4517471,38.57,-83.43,26.38,28.0,58,1,1.5
30,vardo,NO,777019,70.37,31.11,16.0,16.0,59,20,5.7
31,nikolskoye,RU,546105,59.7,30.79,17.09,18.0,45,100,3.0
32,mangrol,IN,1263752,21.12,70.12,27.53,27.53,83,100,2.0
33,hilo,US,5855927,19.73,-155.09,18.89,23.0,83,75,3.1
34,kaitangata,NZ,2208248,-46.28,169.85,5.56,5.56,92,53,0.45
35,isangel,VU,2136825,-19.55,169.27,22.25,22.25,85,1,1.0
36,portland,US,5746545,45.52,-122.68,16.68,18.33,63,20,1.48
37,dikson,RU,1507390,73.51,80.55,4.9,4.9,91,100,5.23
38,bam,IR,141736,29.11,58.36,35.75,35.75,16,87,3.5
39,omsukchan,RU,2122493,62.53,155.8,11.6,11.6,89,100,1.97
40,yulara,AU,6355222,-25.24,130.99,9.0,9.0,34,0,3.1
41,dzhida,RU,2024579,50.68,106.18,17.57,17.57,87,48,0.65
42,jamestown,US,5122534,42.1,-79.24,23.87,25.0,68,1,3.1
43,arraial do cabo,BR,6322152,-22.84,-46.65,21.07,25.0,68,20,7.2
44,bambous virieux,MU,934778,-20.26,57.41,22.59,23.0,69,40,5.1
45,vaini,TO,4032243,-21.2,-175.2,23.0,23.0,78,75,2.6
46,port blair,CD,212962,-7.03,29.76,26.92,26.92,44,80,2.4
47,ulladulla,AU,2145554,-35.35,150.47,5.93,12.0,58,90,6.7
48,samarai,PG,2132606,-10.62,150.67,25.43,25.43,90,53,6.15
49,mys shmidta,RU,556146,62.06,48.62,14.83,14.83,90,100,4.7
50,rafaela,AR,3839479,-31.25,-61.49,12.57,13.89,31,0,2.24
51,verkhnyaya sysert,RU,545353,60.98,40.21,10.98,10.98,97,100,4.64
52,barrow,US,5880054,71.29,-156.79,1.0,1.0,84,90,4.6
53,colatina,BR,3465944,-19.54,-40.63,25.95,25.95,60,86,3.98
54,tiarei,PF,4033356,-17.53,-149.33,22.88,23.0,94,4,1.5
55,albany,US,5106841,42.6,-73.97,22.28,22.78,74,98,0.8
56,cape town,CL,3872326,-36.41,-71.9,9.47,12.78,100,75,1.0
57,biak,ID,1637001,-0.91,122.88,24.73,24.73,84,46,2.02
58,teya,RU,1489656,60.38,92.63,10.76,10.76,74,81,2.38
59,bredasdorp,ZA,1015776,-34.53,20.04,18.0,18.0,42,2,1.5
60,tawang,IN,1254832,27.58,91.87,15.68,15.68,80,100,1.14
61,taltal,CL,3870243,-25.4,-70.48,17.62,17.62,47,0,1.69
62,port hardy,CD,212962,-7.03,29.76,26.92,26.92,44,80,2.4
63,aranda de duero,PH,1730251,10.24,122.95,25.32,25.32,84,99,2.56
64,bethel,US,5282297,41.37,-73.41,21.47,22.22,77,90,1.75
65,san cristobal,ML,2451778,13.3,-4.9,31.12,31.12,52,97,3.51
66,sao joao da barra,IN,1275117,20.51,76.21,23.2,23.2,95,100,3.12
67,chuy,UY,3443061,-33.7,-53.46,9.61,9.61,55,0,1.24
68,punta arenas,PH,1692429,8.99,125.34,24.33,24.33,88,100,3.18
69,manzhouli,CN,2035836,49.6,117.43,19.5,19.5,77,45,2.13
70,westport,US,4845585,41.14,-73.36,22.21,23.0,69,90,3.6
71,port alfred,CD,212962,-7.03,29.76,26.92,26.92,44,80,2.4
72,hisor,TJ,1221714,38.52,68.55,28.0,28.0,37,20,2.0
73,szamosszeg,HU,715518,48.05,22.37,25.0,25.0,50,92,1.0
74,turukhansk,RU,1488903,65.82,87.98,11.47,11.47,73,100,1.04
75,hermanus,ZA,3366880,-34.42,19.23,17.22,17.22,48,0,1.64
76,joshimath,IN,1268814,30.57,79.57,20.08,20.08,60,56,0.25
77,cherskiy,RU,2126199,68.75,161.3,4.45,4.45,81,100,2.96
78,rio grande,GR,254315,38.3,21.78,25.18,29.0,51,20,3.1
79,talnakh,RU,1490256,69.49,88.4,10.0,10.0,81,75,3.0
80,norman wells,US,4543762,35.22,-97.44,25.87,27.0,69,75,5.1
81,tilichiki,RU,2120591,60.47,166.1,8.72,8.72,97,100,0.78
82,mataura,NZ,6201424,-46.19,168.86,3.89,3.89,83,21,1.34
83,buhe,CN,1816221,30.29,112.23,23.33,23.33,89,100,3.06
84,tautira,PF,4033557,-17.73,-149.15,22.89,23.0,94,20,2.1
85,puerto ayora,ES,2518207,36.59,-6.23,35.29,36.0,34,0,6.7
86,castro,BR,3466704,-24.79,-50.01,17.25,17.25,65,7,1.72
87,divnogorsk,RU,1507379,55.96,92.36,14.0,14.0,71,98,2.0
88,vostok,RU,2013279,46.49,135.88,14.43,14.43,97,0,1.49
89,touros,BR,3386213,-5.2,-35.46,26.0,26.0,78,75,5.1
90,esperance,AU,2071860,-33.87,121.9,10.0,10.0,71,0,3.6
91,wakkanai,JP,2127515,45.41,141.67,14.2,14.2,94,9,5.68
92,iqaluit,CA,5983720,63.75,-68.51,13.94,14.0,67,20,2.1
93,requena,ES,2511930,39.49,-1.1,30.0,30.0,38,16,2.6
94,moba,CN,7341918,33.23,105.02,16.47,16.47,94,100,0.85
95,deulgaon raja,IN,1264794,19.93,76.59,24.5,24.5,89,100,1.81
96,tamworth,GB,2636276,52.63,-1.7,15.21,16.0,77,90,3.6
97,mama,RU,2020313,58.31,112.9,21.81,21.81,63,2,1.01
98,lavrentiya,RU,4031637,65.58,-171.0,6.52,6.52,95,100,0.28
99,airai,TL,1651810,-8.93,125.41,13.3,13.3,100,31,1.67
100,mae sai,CN,1801536,34.82,108.93,24.0,24.0,88,100,1.0
101,lovozero,RU,533933,68.0,35.01,18.86,18.86,38,0,1.9
102,carnarvon,AU,2074865,-24.87,113.63,18.0,18.0,68,75,2.6
103,maragogi,BR,3395458,-9.01,-35.22,26.42,26.42,73,31,4.63
104,east london,IS,3337405,65.0,-15.0,12.0,12.0,81,75,4.6
105,vitina,BA,3187588,43.24,17.48,29.0,29.0,30,20,4.1
106,tuatapere,NZ,2180815,-46.13,167.68,3.89,3.89,83,90,1.34
107,tocopilla,CL,3869716,-22.09,-70.2,20.73,20.73,34,2,2.85
108,fortuna,US,5563839,40.6,-124.16,12.88,13.33,93,20,0.61
109,knysna,ZA,988698,-34.04,23.05,16.0,16.0,45,0,2.1
110,bryan,US,4677008,30.67,-96.37,28.72,29.44,79,75,5.1
111,saint-pierre,RE,935214,-21.34,55.48,20.69,23.0,78,37,4.1
112,asau,RO,686090,46.43,26.4,26.55,27.0,39,99,2.6
113,hithadhoo,MV,1282256,-0.6,73.08,29.25,29.25,72,87,3.06
114,cuajinicuilapa,MX,3530046,16.47,-98.42,29.17,29.17,69,1,1.35
115,yellowknife,CA,6185377,62.46,-114.35,12.67,13.0,82,75,6.7
116,zanesville,US,4528923,39.94,-82.01,25.75,27.22,64,20,1.5
117,wewak,PG,2083537,-3.55,143.63,26.49,26.49,83,65,2.36
118,puerto colombia,ES,2518207,36.59,-6.23,35.3,36.0,34,0,6.7
